currency_code,country,altcoin
ADA,Cardano,TRUE
AED,United Arab Emirates,FALSE
AFN,Afghanistan,FALSE
ALL,Albania,FALSE
AMD,Armenia,FALSE
AOA,Angola,FALSE
ARS,Argentine,FALSE
AUD,Australia,FALSE
AWG,Aruba,FALSE
AZN,Azerbaijan,FALSE
BAM,Bosnia-Herzegovina,FALSE
BBD,Barbados,FALSE
BDT,Bangladesh,FALSE
BGN,Bulgaria,FALSE
BHD,Bahrain,FALSE
BIF,Burundi,FALSE
BMD,Bermudas,FALSE
BND,Brunei,FALSE
BOB,Bolivia,FALSE
BRL,Brazil,FALSE
BSD,Bahamas,FALSE
BTN,Bhutan,FALSE
BWP,Botswana,FALSE
BYN,Belarus,FALSE
BZD,Belize,FALSE
CAD,Canada,FALSE
CDF,Democratic Republic of the Congo,FALSE
CHF,Switzerland,FALSE
CLP,Chile,FALSE
CNH,China,FALSE
CNY,China,FALSE
COP,Colombia,FALSE
CRC,Costa Rica,FALSE
CUC,Cuba,FALSE
CUP,Cuba,FALSE
CVE,Cape Verde,FALSE
CZK,Czech Republic,FALSE
DJF,Djibouti,FALSE
DKK,Denmark,FALSE
DOP,Dominican Republic ,FALSE
DZD,Algeria,FALSE
EGP,Egypt,FALSE
ERN,Eritrea,FALSE
ETB,Ethiopia,FALSE
EUR,Euro Zone,FALSE
FJD,Fiji,FALSE
FKP,Falkland Islands,FALSE
GBP,United Kingdom,FALSE
GEL,Georgia,FALSE
GGP,GGP,FALSE
GHS,Ghana,FALSE
GIP,Gibraltar,FALSE
GMD,Gambia,FALSE
GNF,Guinea,FALSE
GTQ,Guatemala,FALSE
GYD,Guyana,FALSE
HKD,Hong Kong,FALSE
HNL,Honduras,FALSE
HRK,Croatia,FALSE
HTG,Haiti,FALSE
HUF,Hungary,FALSE
IDR,Indonesia,FALSE
ILS,Israel,FALSE
IMP,IMP,FALSE
INR,India,FALSE
IQD,Iraq,FALSE
IRR,Iran,FALSE
ISK,Iceland,FALSE
JEP,JEP,FALSE
JMD,Jamaica,FALSE
JOD,Jordan,FALSE
JPY,Japan,FALSE
KES,Kenya,FALSE
KGS,Kyrgystan,FALSE
KHR,Cambodia,FALSE
KMF,Comoros,FALSE
KPW,North Korea,FALSE
KRW,South Korea,FALSE
KWD,Kuwait,FALSE
KYD,Cayman Islands,FALSE
KZT,Kazakhstan,FALSE
LAK,Laos,FALSE
LBP,Lebanon,FALSE
LKR,Sri Lanka,FALSE
LRD,Liberia,FALSE
LSL,Lesotho,FALSE
LYD,Libya,FALSE
MAD,Morocco,FALSE
MDL,Moldova,FALSE
MGA,Malagasy,FALSE
MKD,Macedonia,FALSE
MMK,Myanmar,FALSE
MNT,Mongolia,FALSE
MOP,Macau,FALSE
MRU,Mauritania,FALSE
MUR,Mauritius,FALSE
MVR,Maldives,FALSE
MWK,Malawi,FALSE
MXN,Mexico,FALSE
MYR,Malaysia,FALSE
MZN,Mozambique,FALSE
NAD,Namibia,FALSE
NGN,Nigeria,FALSE
NIO,Nicaragua,FALSE
NOK,Norway,FALSE
NPR,Nepal,FALSE
NZD,New Zealand,FALSE
OMR,Oman,FALSE
PAB,Panama,FALSE
PEN,Peru,FALSE
PGK,Papua New Guinea,FALSE
PHP,Philippines,FALSE
PKR,Pakistan,FALSE
PLN,Poland,FALSE
PYG,Paraguay,FALSE
QAR,Qatar,FALSE
RON,Romania,FALSE
RSD,Serbia,FALSE
RUB,Russia,FALSE
RWF,Rwanda,FALSE
SAR,Saudi Arabia,FALSE
SBD,Solomon Islands,FALSE
SCR,Seychelles,FALSE
SDG,Sudan,FALSE
SEK,Sweden,FALSE
SGD,Singapore,FALSE
SHP,St.Helena,FALSE
SLL,Sierra Leon,FALSE
SOS,Somalia,FALSE
SRD,Surinam,FALSE
SSP,South Sudan,FALSE
STN,São Tomé and Príncipe,FALSE
SVC,El Salvador,FALSE
SYP,Syria,FALSE
SZL,Eswatini,FALSE
THB,Thailand,FALSE
TJS,Tajikistan,FALSE
TMT,Turkmenistan,FALSE
TND,Tunisia,FALSE
TOP,Tonga,FALSE
TRY,Turkey,FALSE
TTD,Trinidad & Tobago,FALSE
TWD,Taiwan,FALSE
TZS,Tanzania,FALSE
UAH,Ukraine,FALSE
UGX,Uganda,FALSE
USD,USA,FALSE
UYU,Uruguay,FALSE
UZS,Uzbekistan,FALSE
VES,Venezuela,FALSE
VND,Vietnam,FALSE
VUV,Vanuatu,FALSE
WST,Samoa,FALSE
XAF,Central Africa (Economic Region),FALSE
XAG,Silver,FALSE
XAU,Gold,FALSE
XCD,Eastern Caribbean dollar (Economic Region),FALSE
XDR,Special Drawing Rights (IMF),FALSE
YER,Yemen,FALSE
ZWL,Zimbabwe,FALSE
ZAR,South Africa,FALSE
ZMW,Zambia,FALSE
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
XRP,Ripple,TRUE
XVG,Verge,TRUE
